term	genes	type	name	parents
R-HSA-1059683	P40763;Q06124;O14543;P23458;P22681;P40189;O60674;P05231;P29597	Immune System	Interleukin-6 signaling	R-HSA-6783589
R-HSA-109581	Q96E52;O60313;Q13177;A1A4S6;O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;P0CG48;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;P20618;Q6ZN44;P42574;P55211;Q9UIK4;Q9UKG1;P43146;O43293;P53355;Q9Y5V3;Q8IZJ1;Q12933;Q86XR7;Q13158;P08571;Q9Y6Y9;Q14790;O00206;P25445;P48023;Q8IUC6;Q15628;O14763;Q13546;O00220;P50591;Q9Y6E0;P51572;O00429;P07305;P16402;P26583;P10412;P16401;O00273;P09429;O76075;Q02539;Q14974;P52294;P16403;Q05655;Q13464;Q04759;Q01826;Q9P289;P55210;Q9HAW4;P55212;Q13490;P25054;Q9UKV3;P51813;P49354;Q05397;P10636;Q13813;Q15149;P35611;Q9UJU6;O43903;P06396;P08670;Q13835;Q07157;Q02413;P12830;P35222;P15924;P32926;Q16625;Q9UDY2;Q14126;P20700;P55957;Q16611;P40763;P10415;Q9BXH1;Q92934;Q96LC9;Q13794;O43521;Q07817;Q07812;P10144;P30419;P45983;P63167;P31947;P63098;P31946;Q9Y243;P31751;P63104;P31749;P62258;Q04917;P61981;P27348;P48454;Q14188;P04637;Q14186;Q01094;Q96FJ2;O15350;Q13625;Q96KQ4;Q9H3D4;Q8N726;Q07021;P99999;Q9NR28;P98170;O14727;Q9NQS1;Q9Y2G2;Q96GX9;P27361;P28482;Q9BZF9	Programmed Cell Death	Apoptosis	R-HSA-5357801
R-HSA-109582	P35237;P00747;P05120;P50452;P05121;P00750;P60903;P07355;P08697;P04196;Q03405;P00749;P07093;P07359;P13224;P02452;P06241;P14770;P30273;P05556;O75578;Q9HCN6;P07948;P17301;P56199;P40197;P04275;P08123;P13726;P00742;P08709;P00740;P10646;P04070;P42785;P01042;P03952;P07225;P01008;P03951;P01023;P00748;P00451;Q07021;P05154;P05155;P05546;P00734;P24158;P02776;P25116;P05160;Q9UNN8;P12259;P02671;Q8N6Q3;P02675;P02679;P00488;P10720;P07204;Q5NV68;Q5NV82;Q5NV65;Q5NV89;Q16557;P31431;A0A0C4DH73;P01700;P78324;Q15238;Q14242;P41732;P01624;Q9UIB8;Q9UQ74;P11464;P78380;Q13046;P18827;Q9P1W8;Q00888;P01703;P01834;P01715;P20701;P05107;P0CF74;P01701;P01593;P01619;Q92896;P01714;P01706;P04211;Q9UQ72;Q00887;P01705;P12018;Q9NRD5;Q9UKI3;Q9UBN6;P06315;P16284;Q00889;Q12866;Q5NV90;Q5NV79;Q5NV80;Q5NV61;Q5NV67;A2NXD2;Q5NV66;Q5NV86;Q5NV64;Q5NV84;Q5NV92;Q6PIL0;Q5NV83;P34741;O75056;P01877;P11215;P01876;P01764;P01772;P14151;P16581;P14209;P40199;Q9BZW8;Q14393;P09326;P16070;P06731;P31997;P13688;P40198;Q8TCZ2;P78310;P35052;Q8WWV6;P01743;P01742;P01817;P01814;P01780;P01782;P01762;P01766;P06331;P01763;P01767;P01824;P01825;P06310;P06729;A2NJV5;P01591;P08648;P20702;P19256;P01614;Q96AP7;P04114;P16422;Q08722;P0DOY3;Q86YT9;Q9Y624;P06028;P01615;P01709;A0A075B6S6;P16109;P01599;P01717;P14174;P15814;Q9BX67;A0A075B6P5;P01871;A0M8Q6;P01718;P02751;P01597;P01594;P16150;P0DOY2;P57087;P04233;P01601;P02724;A0A0C4DH25;P0CG04;P01768;P01721;P06312;P01602;P01611;P80748;P04430;P01704;P13612;P04433;P23083;P04921;P04432;Q9NP99;O14763;P11465;P01699;P01137;O00220;A2KUC3;Q5NV81;Q5NV85;Q5NV91;Q5NV87;Q5NV75;Q5NV69;Q5NV62;Q92835;P19174;Q06124;P05106;P29350;P07947;P06239;P06756;P26006;P62937;Q13356;O95907;Q9UPY5;Q9UM01;Q01650;Q9UHI5;Q9NS82;P14415;P54709;Q03135;P05026;P08195;P82251;P35613;P03956;P32004;P23229;P20916;P53985;O15427;Q92536;P01111;P01116;P01112;P42338;Q02763;P27986;P29353;Q07889;Q15389;O15123;O60496;Q14449;Q14451;O00459;P42336;Q9Y264;Q8TDZ2;O43502;Q9NRF2;O14492;Q96ST3;Q9UQQ2;O15315;Q16621;P69892;P01568;P22612;P05015;Q9P0W2;Q9UKL0;P31321;O60675;P17612;P10242;P04637;Q9H1K0;Q96BD5;P63000;P20339;Q8NF50;Q9BZ29;Q8IZD9;P43694;Q5JSL3;Q96BY6;O43572;P02100;P01570;P01563;P32881;Q5VZK9;P47755;P60953;Q92908;Q9BTV7;P23769;Q00535;Q8WW38;P24941;Q92667;P00519;Q92608;P52907;P45973;Q8TDN4;Q96N67;Q9BWX5;P14316;Q92769;P60709;Q9H4M9;Q9NZN3;P23771;Q8IX07;P01574;Q9UIJ7;P10644;P15976;P47756;Q9H7D0;Q9NZN4;P01569;P69891;P01562;P05014;O60674;P02042;Q8N1I0;Q14185;P01566;P01571;P68871;Q9ULX9;P84243;P10914;P13861;Q13547;Q15652;Q8IWA4;Q13572;P31323;O15525;P01567;Q71DI3;P05013;P22694;P68431;O60341;O95140;Q96HP0;Q9NRW7;P30291;P0DPH7;P33176;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q07866;Q9ULI4;Q14807;O60333;Q2KJY2;Q9H853;O14782;Q6PEY2;Q9NY65;Q9BVA1;Q9BUF5;Q6PKD1;Q66K46;Q9H0H5;Q02224;O43896;Q96L93;Q6ZMV9;O95239;Q9Y496;Q96Q89;Q9HAQ2;Q9UIL4;Q92845;O00139;Q96FN5;Q12840;Q9NS87;Q02241;O75037;Q86Y91;B7ZC32;Q99661;Q9NQT8;P52732;Q86VH2;O15066;Q6P597;Q8NI77;Q8N4N8;Q9H0B6;Q2TAC6;O95235;Q7Z4S6;Q9NSK0;Q13509;Q12756;Q2VIQ3;Q96AC6;Q9BW19;P68363;Q3ZCM7;P68371;O15547;Q99571;Q93086;Q99487;P51575;Q9UBL9;Q99572;P56373;P43119;Q5JWF2;P62879;P50150;P61952;P63092;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P59768;P16520;P63218;Q9UBI6;Q9P2W3;P50151;O14610;Q9UK08;P62714;P67775;P47712;Q14114;Q14738;Q15173;P09769;Q13362;P30153;Q16537;P30154;Q15172;Q16539;P35228;O75343;Q02153;Q02108;P33402;P29474;P29475;Q86W47;P54750;O00408;Q13237;Q9Y233;Q01064;Q9Y6F6;Q9NPA1;Q16558;Q12791;Q9Y691;Q9HCR9;O76083;Q14643;O76074;Q9Y210;Q9HCX4;Q13586;Q96D31;Q14573;Q14571;Q96SN7;Q13507;P30626;P32418;P57103;Q01814;O14983;P16615;Q16720;Q93084;P23634;P20020;P0DP23;Q9UPR5;P61586;Q86YL7;Q5UE93;O15530;P15153;Q9UKW4;P15498;P62745;P16885;Q8WYR1;O95866;Q9P126;P43405;O43561;Q92569;P48736;P84095;Q05513;Q13094;P52735;P04049;P63104;P21333;O00254;P50148;P49407;P32121;P29992;P30679;Q14344;Q03113;P27361;P28482;O95837;Q96RI0;Q05655;Q04759;Q16760;Q13574;Q86XP1;P23743;O75912;Q5KSL6;P52824;P49619;P24723;O95267;P52429;Q9Y6T7;Q02156;Q7LDG7;Q99685;Q9Y4D2;Q8N2K0;Q8NCG7;Q9BV23;Q9H244;P08754;P04899;A8MTJ3;P63096;P47900;P21731;Q13685;P05771;P17252;P05129;O00186;Q12846;Q8WXD2;Q99969;P09486;Q96JJ7;P01033;O00391;P00441;P62328;Q9Y6I9;P07602;P37802;O43915;P02787;P10600;Q15833;P14210;P07737;O75167;O15439;O60245;Q13103;O75083;P01127;P08567;Q6UXV4;P35625;Q9NTK5;P61812;O00194;P49908;P10124;Q8NBX0;P08962;P01344;O94919;O43852;Q5SQ64;Q7L3B6;P10909;P23528;Q06481;P56202;P21926;Q9BWS9;P16671;P35609;P08758;P04217;P04075;Q6YHK3;O43707;Q9ULD4;P12814;Q01518;P00746;Q16610;P01009;P02647;P11021;P05019;P02749;Q9BX10;P01011;Q5JVS0;Q6ZUX7;O00292;P08514;P19652;Q9BYX7;P05067;P02763;P02768;Q92520;P02765;Q13201;Q08380;P02775;O14498;Q9UNF1;P13473;Q9UHQ9;Q8NBF2;P01133;P29622;Q14624;P55145;Q86UX7;P07996;P18206;P49767;Q9Y490;P05452;Q8WZ42;Q06033;P15692;Q96C24;Q8NBM8;P49765;Q9UEU0;Q9NXH8;Q9NUQ9;P40238;P40225;P18089;P08913;P18825;P61224;P62834;Q8WZA2;P18031;O95398;Q7Z5R6;P41240;P31749;Q05397;P12931;P46108;P56945	Hemostasis	Hemostasis	
R-HSA-109606	P55957;Q16611;P40763;P10415;Q9BXH1;Q92934;Q96LC9;Q13794;O43521;Q07817;Q07812;P10144;Q14790;P30419;P45983;P63167;P31947;P63098;P31946;Q9Y243;P31751;P63104;P31749;P62258;Q04917;P61981;P27348;P48454;Q14188;P04637;Q14186;Q01094;Q96FJ2;O15350;Q13625;Q96KQ4;Q9H3D4;Q8N726;Q07021;P99999;Q9NR28;P98170;P55210;P42574;P55211;O14727;Q9NQS1;Q9Y2G2;Q96GX9;P27361;P28482;Q9BZF9	Programmed Cell Death	Intrinsic Pathway for Apoptosis	R-HSA-109581
R-HSA-109703	Q13370;P31751	Signal Transduction	PKB-mediated events	R-HSA-109704
R-HSA-109704	Q06124;P35568;P42338;P27986;P08620;P10767;Q9HCT0;O43320;Q9UEF7;O76093;P49771;Q9Y4H2;Q13480;Q8WU20;P36888;Q9UQC2;O15520;P11487;P09038;P21802;O95750;P05230;Q9GZV9;P31371;P11362;Q9NP95;P22455;P22607;Q86Z14;O00459;P21781;Q9NR96;Q8NEB9;P42336;Q99570;O15530;P31751;Q96RU7;Q5T1C6;Q13370	Signal Transduction	PI3K Cascade	R-HSA-112399
R-HSA-110056	Q06124;P23458;P06493;O60674;P27361;P05231;Q02750;P29597	Signal Transduction	MAPK3 (ERK1) activation	R-HSA-112409
R-HSA-110312	Q9UI95;P40938;P15927;Q9UBZ9;P62987;P35249;P62979;P35244;P35251;P0CG48;P12004;P40937;P0CG47;P27694;P35250;O60673	DNA Repair	Translesion synthesis by REV1	R-HSA-110313
R-HSA-110313	Q9UI95;P40938;P15927;Q9UBZ9;P62987;P35249;P62979;P35244;P35251;P0CG48;P12004;P40937;P0CG47;P27694;P35250;O60673;Q9H040;Q9Y253;Q92890;P55072;Q8TAT6;Q96PM5;Q9UBT6;Q9UNA4;Q70EL4;P41226;Q14694;Q15004;Q9NR33;Q9HCU8;Q9NRF9;Q15054;P28340;P05161;Q07864;P56282;P49005;O14933;Q14258	DNA Repair	Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template	R-HSA-73893
R-HSA-110314	P40938;P15927;P62987;P35249;P62979;P35244;P35251;P62877;P0CG48;P63146;Q8TAF3;P12004;P40937;P0CG47;O94782;P27694;P35250;Q9NS91;Q9NR33;Q9HCU8;Q16531;Q9NRF9;Q13620;Q15054;P28340;Q13619;Q07864;P56282;P49005;Q9NZJ0	DNA Repair	Recognition of DNA damage by PCNA-containing replication complex	R-HSA-73893
